speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Ricardo,Dadoo,Operating Partner,Clarendon Capital,,,Private Equity Chicago Forum 2027,July 2027,"Chicago, IL",,Chicago,IL,attendee,https://www.marketsgroup.org/forums/private-equity-chicago-forum
Ben,Brandes,Partner,NewOrigin Investments,,,Private Equity Chicago Forum 2027,July 2027,"Chicago, IL",,Chicago,IL,attendee,https://www.marketsgroup.org/forums/private-equity-chicago-forum
