speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state,category,source_url
Pricing,& Registration,Hedge Fund Managers,Allocators & Senior Operational Leaders,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit
Swiss,Digital Bank,where he was CIO and Chief Commercial Officer. Prior to this,he had been CIO of Al Mal Capital (Dubai Investments),,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
Seven,Canyons Advisors,as an Equity Research Analyst for Wasatch Global Investors,as a Principal for a Global Macro Hedge Fund and as an analyst for JPMorgan Chase,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
Book,Partners,he founded and was Portfolio Manager/Managing Member of Conatus Capital,a multi-billion-dollar global long/short equity fund manager. David was a Partner,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
Lone,Pine Capital,an associate at McKinsey & Company and served as Trustee and Chair of the Investm,,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
Blackstone,Strycker View Capital,a financial sector hedge fund,and began his career with Blackstone Strategic Capital Group focused on seed and,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
Chief,Investment Officer,the Chief Executive Officer and Head of J.P. Morgan Alternative Asset Management.,,,,Hedgeweek US Summit 2026,September 2026 (TBC),New York,,,,speaker,https://events.hedgeweek.com/us-summit/speakers
