speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state
Nimish,Panchmatia,Chief Data and Transformation Officer,DBS Bank,,Data Strategy & AI Governance,Singapore Data Festival 2026,20th July 2026,Singapore,,Singapore,
Markham,Cho,VP Government Affairs and Public Policy,Google,,AI Policy & Data Governance,Singapore Data Festival 2026,20th July 2026,Singapore,,Singapore,
Royce,Wee,Privacy and Data Policy Director APAC,Meta,,Privacy-Enhancing Technologies,Singapore Data Festival 2026,20th July 2026,Singapore,,Singapore,
