speaker_first_name,speaker_last_name,speaker_title,company_name,speaker_linkedin,talk_title,event_name,event_date,event_location,website,city,state
Deepali,Bhargava,Head of Research & Chief Economist Asia-Pacific,ING,,Risk & Resilience,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Maheep,Jain,Managing Director,Macquarie Capital Infrastructure Principal,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Niramarn,Laisathit,Executive Director & Senior Executive Vice President,Bangkok Bank,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Audra,Low,CEO,Clifford Capital Credit Solutions,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Jennifer,Richards,CEO Asia Pacific,Aon,,Risk & Resilience,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Meliza M.,Rusli,President Director,Permata Bank,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Chartsiri,Sophonpanich,President,Bangkok Bank,,Strategic Advantage,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
Russell,Tham,Head Emerging Technologies,Temasek Global Investments,,Energy & Growth,Bloomberg Sustainable Business Summit Singapore 2026,22nd July 2026,Singapore,,Singapore,
